# rho theta Phi
5.203844732503075221e+01 -3.844259002118798063e-02 3.347938776016235352e+00
5.403702434442518410e+01 -3.702011587393002484e-02 3.331546545028686523e+00
5.603570290448760005e+01 -3.569911267932397020e-02 3.315421104431152344e+00
5.803447251418763386e+01 -3.446910099950801359e-02 3.299555301666259766e+00
6.003332407921453751e+01 -3.332099587824719628e-02 3.283941984176635742e+00
6.203224967708329274e+01 -3.224688243525392073e-02 3.268574714660644531e+00
6.403124237432848531e+01 -3.123983343026827744e-02 3.253446578979492188e+00
6.603029607687670932e+01 -3.029375991877510110e-02 3.238551139831542969e+00
6.802940540677980152e+01 -2.940328820400511453e-02 3.223882675170898438e+00
7.002856560004639164e+01 -2.856365783875999473e-02 3.209434747695922852e+00
7.202777242147642767e+01 -2.777063659342103585e-02 3.195201635360717773e+00
7.402702209328698757e+01 -2.702044918726478895e-02 3.181178092956542969e+00
7.602631123499284627e+01 -2.630971725292219343e-02 3.167358160018920898e+00
7.802563681252463823e+01 -2.563540852167748088e-02 3.153737068176269531e+00
8.002499609497021993e+01 -2.499479361892015944e-02 0.000000000000000000e+00
8.202438661763950734e+01 -2.438540917271853764e-02 0.000000000000000000e+00
8.402380615040001999e+01 -2.380502618506994197e-02 0.000000000000000000e+00
8.602325267042627388e+01 -2.325162281046291510e-02 0.000000000000000000e+00
8.802272433866154699e+01 -2.272336084164106387e-02 0.000000000000000000e+00
9.002221947941519886e+01 -2.221856532671906068e-02 0.000000000000000000e+00
9.202173656261872736e+01 -2.173570684179266729e-02 0.000000000000000000e+00
9.402127418834527361e+01 -2.127338602406120271e-02 0.000000000000000000e+00
9.602083107326242839e+01 -2.083032003621708428e-02 0.000000000000000000e+00
9.802040603874276314e+01 -2.040533068653808610e-02 0.000000000000000000e+00
1.000199980003998945e+02 -1.999733397315053146e-02 0.000000000000000000e+00
1.020196059588547968e+02 -1.960533085720468638e-02 0.000000000000000000e+00
1.040192289915667487e+02 -1.922839909970720795e-02 0.000000000000000000e+00
1.060188662455885691e+02 -1.886568602167078626e-02 0.000000000000000000e+00
1.080185169311262143e+02 -1.851640206800904409e-02 0.000000000000000000e+00
1.100181803158005351e+02 -1.817981507297828161e-02 0.000000000000000000e+00
1.120178557195235669e+02 -1.785524513955251413e-02 0.000000000000000000e+00
1.140175425099137954e+02 -1.754206005740248722e-02 0.000000000000000000e+00
1.160172400981854111e+02 -1.723967119452969599e-02 0.000000000000000000e+00
1.180169479354554340e+02 -1.694752980640491097e-02 0.000000000000000000e+00
1.200166655094199797e+02 -1.666512371394074724e-02 0.000000000000000000e+00
1.220163923413571467e+02 -1.639197430800526725e-02 0.000000000000000000e+00
1.240161279834199632e+02 -1.612763384363623612e-02 0.000000000000000000e+00
1.260158720161869184e+02 -1.587168299179005093e-02 0.000000000000000000e+00
1.280156240464420705e+02 -1.562372862047683129e-02 0.000000000000000000e+00
1.300153837051600476e+02 -1.538340178059515069e-02 0.000000000000000000e+00
1.320151506456739980e+02 -1.515035587476981117e-02 0.000000000000000000e+00
1.340149245420076340e+02 -1.492426499008498754e-02 0.000000000000000000e+00
1.360147050873544288e+02 -1.470482237785143177e-02 0.000000000000000000e+00
1.380144919926889315e+02 -1.449173906550002208e-02 0.000000000000000000e+00
1.400142849854971132e+02 -1.428474258739663091e-02 0.000000000000000000e+00
1.420140838086138615e+02 -1.408357582286019066e-02 0.000000000000000000e+00
1.440138882191575362e+02 -1.388799593096707446e-02 0.000000000000000000e+00
1.460136979875518364e+02 -1.369777337286578849e-02 0.000000000000000000e+00
1.480135128966271054e+02 -1.351269101332821555e-02 0.000000000000000000e+00
1.500133327407934019e+02 -1.333254329414567708e-02 0.000000000000000000e+00
1.520131573252789110e+02 -1.315713547275574116e-02 0.000000000000000000e+00
1.540129864654276446e+02 -1.298628292017248338e-02 0.000000000000000000e+00
1.560128199860511415e+02 -1.281981047290058247e-02 0.000000000000000000e+00
1.580126577208294520e+02 -1.265755183405196244e-02 0.000000000000000000e+00
1.600124995117568858e+02 -1.249934901936167880e-02 0.000000000000000000e+00
1.620123452086290854e+02 -1.234505184422448817e-02 0.000000000000000000e+00
1.640121946685672469e+02 -1.219451744825181608e-02 0.000000000000000000e+00
1.660120477555770719e+02 -1.204760985418599356e-02 0.000000000000000000e+00
1.680119043401389547e+02 -1.190419955830982965e-02 0.000000000000000000e+00
1.700117642988272735e+02 -1.176416314975874816e-02 0.000000000000000000e+00
1.720116275139561708e+02 -1.162738295638387175e-02 0.000000000000000000e+00
1.740114938732496626e+02 -1.149374671503052177e-02 0.000000000000000000e+00
1.760113632695343995e+02 -1.136314726429072872e-02 0.000000000000000000e+00
1.780112356004530341e+02 -1.123548225796272906e-02 0.000000000000000000e+00
1.800111107681967439e+02 -1.111065389760747257e-02 0.000000000000000000e+00
1.820109886792552913e+02 -1.098856868273361855e-02 0.000000000000000000e+00
1.840108692441835103e+02 -1.086913717727018037e-02 0.000000000000000000e+00
1.860107523773827438e+02 -1.075227379110123629e-02 0.000000000000000000e+00
1.880106379968963211e+02 -1.063789657554144175e-02 0.000000000000000000e+00
1.900105260242179384e+02 -1.052592703172541486e-02 0.000000000000000000e+00
1.920104163841118350e+02 -1.041628993096966119e-02 0.000000000000000000e+00
1.940103090044443945e+02 -1.030891314624328425e-02 0.000000000000000000e+00
1.960102038160258644e+02 -1.020372749395423440e-02 0.000000000000000000e+00
1.980101007524616250e+02 -1.010066658532190673e-02 0.000000000000000000e+00
2.000099997500124971e+02 -9.999666686665237628e-03 0.000000000000000000e+00
4.000000000000000000e+00 3.141592653589793116e+00 6.854506492614746094e+00
2.000000000000000000e+00 3.141592653589793116e+00 6.838914394378662109e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.818403720855712891e+00
2.000000000000000000e+00 0.000000000000000000e+00 6.838860034942626953e+00
4.000000000000000000e+00 0.000000000000000000e+00 6.854401588439941406e+00
6.000000000000000000e+00 0.000000000000000000e+00 6.782946586608886719e+00
8.000000000000000000e+00 0.000000000000000000e+00 6.657910823822021484e+00
1.000000000000000000e+01 0.000000000000000000e+00 6.506847858428955078e+00
1.200000000000000000e+01 0.000000000000000000e+00 6.338165760040283203e+00
1.400000000000000000e+01 0.000000000000000000e+00 6.157414913177490234e+00
1.600000000000000000e+01 0.000000000000000000e+00 5.967963695526123047e+00
1.800000000000000000e+01 0.000000000000000000e+00 5.772068500518798828e+00
2.000000000000000000e+01 0.000000000000000000e+00 5.571396350860595703e+00
2.200000000000000000e+01 0.000000000000000000e+00 5.367328643798828125e+00
2.400000000000000000e+01 0.000000000000000000e+00 5.161175727844238281e+00
2.600000000000000000e+01 0.000000000000000000e+00 3.578221797943115234e+00
2.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
